doc_name,para_idx,president,year,era,zero_sum_primary,zero_sum_second,text
/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,34,William McKinley,1898,The Gilded Age,True,False,"And yet the strife continues with all its dread horrors and all its injuries to the interests of the United States and of other nations. Each party seems quite capable of working great injury and damage to the other, as well as to all the relations and interests dependent on the existence of peace in the island; but they seem incapable of reaching any adjustment, and both have thus far failed of achieving any success whereby one party shall possess and control the island to the exclusion of the other. Under these circumstances, the agency of others, either by mediation or intervention, seems to be the only alternative which must sooner or later be invoked for the termination of the strife."
/the-presidency/presidential-speeches/april-11-1951-report-american-people-korea,2,Harry S. Truman,1951,The Cold War,True,False,"If they don't act together, they are likely to be picked off, one by one. If they had followed the right policies in the 1930's - if the free countries had acted together to crush the aggression of the dictators, and if they had acted in the beginning when the aggression was small - there probably would have been no World War II. If history has taught us anything, it is that aggression anywhere in the world is a threat to the peace everywhere in the world. When that aggression is supported by the cruel and selfish rulers of a powerful nation who are bent on conquest, it becomes a dear and present danger to the security and independence of every free nation."
/the-presidency/presidential-speeches/april-11-1951-report-american-people-korea,5,Harry S. Truman,1951,The Cold War,False,True,"Here, in part, is what the Communist officer, who had been trained in Moscow, told his men: ""Our forces,"" he said, ""are scheduled to attack South Korean forces about the middle of June .... The coming attack on South Korea marks the first step toward the liberation of Asia."" Notice that he used the word ""liberation."" This is Communist double-talk meaning ""conquest."" I have another secret intelligence report here. This one tells what another Communist officer in the Far East told his men several months before the invasion of Korea. Here is what he said: ""In order to successfully undertake the long-awaited world revolution, we must first unify Asia .... lava, Indochina, Malaya, India, Tibet, Thailand, Philippines, and Japan are our ultimate targets ...."
/the-presidency/presidential-speeches/april-11-1951-report-american-people-korea,7,Harry S. Truman,1951,The Cold War,True,False,The whole Communist imperialism is back of the attack on peace in the Far East. It was the Soviet Union that trained and equipped the North Koreans for aggression. The Chinese Communists massed 44 well-trained and well-equipped divisions on the Korean frontier. These were the troops they threw into battle when the North Korean Communists were beaten. The question we have had to face is whether the Communist plan of conquest can be stopped without a general war. Our Government and other countries associated with us in the United Nations believe that the best chance of stopping it without a general war is to meet the attack in Korea and defeat it there. That is what we have been doing.
/the-presidency/presidential-speeches/april-11-1951-report-american-people-korea,9,Harry S. Truman,1951,The Cold War,True,False,"It has already slowed down the timetable of conquest. In Korea itself there are signs that the enemy is building up his ground forces for a new mass offensive. We also know that there have been large increases in the enemy's available air forces. If a new attack comes, I feel confident it will be turned back. The United Nations fighting forces are tough and able and well equipped. They are fighting for a just cause. They are proving to all the world that the principle of collective security will work. We are proud of all these forces for the magnificent job they have done against heavy odds. We pray that their efforts may succeed, for upon their success may hinge the peace of the world."
/the-presidency/presidential-speeches/april-11-1951-report-american-people-korea,10,Harry S. Truman,1951,The Cold War,True,False,"The Communist side must now choose its course of action. The Communist rulers may press the attack against us. They may take further action which will spread the conflict. They have that choice, and with it the awful responsibility for what may follow. The Communists also have the choice of a peaceful settlement which could lead to a general relaxation of the tensions in the Far East. The decision is theirs, because the forces of the United Nations will strive to limit the conflict if possible. We do not want to see the conflict in Korea extended. We are trying to prevent a world war - not to start one. And the best way to do that is to make it plain that we and the other free countries will continue to resist the attack."
/the-presidency/presidential-speeches/april-13-1846-message-regarding-cherokee-indians,1,James K. Polk,1846,Expansion,True,False,"Since the meeting of Congress several unprovoked murders have been committed by the stronger upon the weaker party of the tribe, which will probably remain unpunished by the Indian authorities; and there is reason to apprehend that similar outrages will continue to be perpetrated unless restrained by the authorities of the United States. Many of the weaker party have been compelled to seek refuge beyond the limits of the Indian country and within the State of Arkansas, and are destitute of the means for their daily subsistence. The military forces of the United States stationed on the western frontier have been active in their exertions to suppress these outrages and to execute the treaty of 1835, by which it is stipulated that ""the United States agree to protect the Cherokee Nation from domestic strife and foreign enemies, and against intestine wars between the several tribes."" These exertions of the Army have proved to a great extent unavailing, for the reasons stated in the accompanying documents, including communications from the officer commanding at Fort Gibson."
/the-presidency/presidential-speeches/april-13-1846-message-regarding-cherokee-indians,3,James K. Polk,1846,Expansion,True,False,"Should this state of things continue, it is not difficult to foresee that the weaker party will be finally destroyed. As the guardian of the Indian tribes, the Government of the United States is bound by every consideration of duty and humanity to interpose to prevent such a disaster. From the examination which I have made into the actual state of things in the Cherokee Nation I am satisfied that there is no probability that the different bands or parties into which it is divided can ever again live together in peace and harmony, and that the well-being of the whole requires that they should be separated and live under separate governments as distinct tribes. That portion who emigrated to the west of the Mississippi prior to the year 1819, commonly called the ""Old Settlers,"" and that portion who made the treaty of 1835, known as the ""treaty party,"" it is believed would willingly unite, and could live together in harmony."
/the-presidency/presidential-speeches/april-13-1846-message-regarding-cherokee-indians,4,James K. Polk,1846,Expansion,True,False,"The number of these, as nearly as can be estimated, is about one-third of the tribe. The whole number on all the bands or parties does not probably exceed 20,000. The country which they occupy embraces 7,000,000 acres of land, with the privilege of an outlet to the western limits of the United States. This country is susceptible of division, and is large enough for all. I submit to Congress the propriety of either dividing the country which they at present occupy or of providing by law a new home for the one or the other of the bands or parties now in hostile array against each other, as the most effectual, if not the only, means of preserving the weaker party from massacre and total extermination."
/the-presidency/presidential-speeches/april-16-1945-first-speech-congress,2,Harry S. Truman,1945,War & New Deal,True,False,"Such a leadership requires vision, courage and tolerance. It can be provided only by a united nation deeply devoted to the highest ideals. With great humility I call upon all Americans to help me keep our nation united in defense of those ideals which have been so eloquently proclaimed by Franklin Roosevelt. I want in turn to assure my fellow Americans and all of those who love peace and liberty throughout the world that I will support and defend those ideals with all my strength and all my heart. That is my duty and I shall not shirk it. So that there can be no possible misunderstanding, both Germany and Japan can be certain, beyond any shadow of a doubt, that America will continue the fight for freedom until no vestige of resistance remains!"
/the-presidency/presidential-speeches/april-16-1945-first-speech-congress,4,Harry S. Truman,1945,War & New Deal,True,False,"But the laws of God and of man have been violated and the guilty must not go unpunished. Nothing shall shake our determination to punish the war criminals even though we must pursue them to the ends of the earth. Lasting peace can never be secured if we permit our dangerous opponents to plot future wars with impunity at any mountain retreat - however distant. In this shrinking world, it is futile to seek safety behind geographical barriers. Real security will be found only in law and in justice. Here in America, we have labored long and hard to achieve a social order worthy of our great heritage. In our time, tremendous progress has been made toward a really democratic way of life."
/the-presidency/presidential-speeches/april-16-1945-first-speech-congress,6,Harry S. Truman,1945,War & New Deal,True,False,"Gradually, the shackles of slavery are being broken by the forces of freedom. All of us are praying for a speedy victory. Every day peace is delayed costs a terrible toll. The armies of liberation today are bringing to an end Hitler's ghastly threat to dominate the world. Tokyo rocks under the weight of our bombs. The grand strategy of the United Nations' war has been determined - due in no small measure to the vision of our departed Commander in Chief. We are now carrying out our part of that strategy under the able direction of Admiral Leahy, General Marshall, Admiral King, General Arnold, General Eisenhower, Admiral Nimitz and General MacArthur. I want the entire world to know that this direction must and will remain - unchanged and unhampered!"
/the-presidency/presidential-speeches/april-16-1945-first-speech-congress,10,Harry S. Truman,1945,War & New Deal,True,False,"As long as hope remains, the spirit of man will never be crushed. But hope alone was not and is not sufficient to avert war. We must not only have hope but we must have faith enough to work with other peace-loving nations to maintain the peace. Hope was not enough to beat back the aggressors as long as the peace-loving nations were unwilling to come to each other's defense. The aggressors were beaten back only when the peace-loving nations united to defend themselves. If wars in the future are to be prevented the nations must be united in their determination to keep the peace under law. Nothing is more essential to the future peace of the world than continued cooperation of the nations which had to muster the force necessary to defeat the conspiracy of the Axis powers to dominate the world."
