,word,pos,lemma,year,president
0,the,DT,The,1810,James Madison
1,act,NN,act,1810,James Madison
2,of,IN,of,1810,James Madison
3,the,DT,the,1810,James Madison
4,last,JJ,last,1810,James Madison
5,session,NN,session,1810,James Madison
6,of,IN,of,1810,James Madison
7,congress,NNP,Congress,1810,James Madison
8,concerning,VBG,concern,1810,James Madison
9,the,DT,the,1810,James Madison
10,commercial,JJ,commercial,1810,James Madison
11,intercourse,NN,intercourse,1810,James Madison
12,between,IN,between,1810,James Madison
13,the,DT,the,1810,James Madison
14,united,NNP,United,1810,James Madison
15,states,NNPS,States,1810,James Madison
16,and,CC,and,1810,James Madison
17,great,NNP,Great,1810,James Madison
18,britain,NNP,Britain,1810,James Madison
19,and,CC,and,1810,James Madison
20,france,NNP,France,1810,James Madison
21,and,CC,and,1810,James Madison
22,their,PRP$,their,1810,James Madison
23,dependencies,NNS,dependency,1810,James Madison
24,having,VBG,have,1810,James Madison
25,invited,VBN,invite,1810,James Madison
26,in,IN,in,1810,James Madison
27,a,DT,a,1810,James Madison
28,new,JJ,new,1810,James Madison
29,form,NN,form,1810,James Madison
30,a,DT,a,1810,James Madison
31,termination,NN,termination,1810,James Madison
32,of,IN,of,1810,James Madison
33,their,PRP$,their,1810,James Madison
34,edicts,NNS,edict,1810,James Madison
35,against,IN,against,1810,James Madison
36,our,PRP$,our,1810,James Madison
37,neutral,JJ,neutral,1810,James Madison
38,commerce,NN,commerce,1810,James Madison
39,copies,NNS,copy,1810,James Madison
40,of,IN,of,1810,James Madison
41,the,DT,the,1810,James Madison
42,act,NN,act,1810,James Madison
43,were,VBD,be,1810,James Madison
44,immediately,RB,immediately,1810,James Madison
45,forwarded,VBN,forward,1810,James Madison
46,to,TO,to,1810,James Madison
47,our,PRP$,our,1810,James Madison
48,ministers,NNS,minister,1810,James Madison
49,at,IN,at,1810,James Madison
50,london,NNP,London,1810,James Madison
51,and,CC,and,1810,James Madison
52,paris,NNP,Paris,1810,James Madison
53,with,IN,with,1810,James Madison
54,a,DT,a,1810,James Madison
55,view,NN,view,1810,James Madison
56,that,IN,that,1810,James Madison
57,its,PRP$,its,1810,James Madison
58,object,NN,object,1810,James Madison
59,might,MD,might,1810,James Madison
60,be,VB,be,1810,James Madison
61,within,IN,within,1810,James Madison
62,the,DT,the,1810,James Madison
63,early,JJ,early,1810,James Madison
64,attention,NN,attention,1810,James Madison
65,of,IN,of,1810,James Madison
66,the,DT,the,1810,James Madison
67,french,JJ,French,1810,James Madison
68,and,CC,and,1810,James Madison
69,british,JJ,British,1810,James Madison
70,governments,NNS,Governments,1810,James Madison
71,by,IN,By,1810,James Madison
72,the,DT,the,1810,James Madison
73,communication,NN,communication,1810,James Madison
74,received,VBD,receive,1810,James Madison
75,through,IN,through,1810,James Madison
76,our,PRP$,our,1810,James Madison
77,minister,NN,minister,1810,James Madison
78,at,IN,at,1810,James Madison
79,paris,NNP,Paris,1810,James Madison
80,it,PRP,it,1810,James Madison
81,appeared,VBD,appear,1810,James Madison
82,that,IN,that,1810,James Madison
83,knowledge,NN,knowledge,1810,James Madison
84,of,IN,of,1810,James Madison
85,the,DT,the,1810,James Madison
86,act,NN,act,1810,James Madison
87,by,IN,by,1810,James Madison
88,the,DT,the,1810,James Madison
89,french,JJ,French,1810,James Madison
90,government,NNP,Government,1810,James Madison
91,was,VBD,be,1810,James Madison
92,followed,VBN,follow,1810,James Madison
93,by,IN,by,1810,James Madison
94,a,DT,a,1810,James Madison
95,declaration,NN,declaration,1810,James Madison
96,that,IN,that,1810,James Madison
97,the,DT,the,1810,James Madison
98,berlin,NNP,Berlin,1810,James Madison
99,and,CC,and,1810,James Madison
100,milan,NNP,Milan,1810,James Madison
101,decrees,NNS,decree,1810,James Madison
102,were,VBD,be,1810,James Madison
103,revoked,VBN,revoke,1810,James Madison
104,and,CC,and,1810,James Madison
105,would,MD,would,1810,James Madison
106,cease,VB,cease,1810,James Madison
107,to,TO,to,1810,James Madison
108,have,VB,have,1810,James Madison
109,effect,NN,effect,1810,James Madison
110,on,IN,on,1810,James Madison
111,the,DT,the,1810,James Madison
112,first,JJ,first,1810,James Madison
113,day,NN,day,1810,James Madison
114,of,IN,of,1810,James Madison
115,november,NNP,November,1810,James Madison
116,ensuing,VBG,ensue,1810,James Madison
117,these,DT,These,1810,James Madison
118,being,VBG,be,1810,James Madison
119,the,DT,the,1810,James Madison
120,only,JJ,only,1810,James Madison
121,known,JJ,known,1810,James Madison
122,edicts,NNS,edict,1810,James Madison
123,of,IN,of,1810,James Madison
124,france,NNP,France,1810,James Madison
125,within,IN,within,1810,James Madison
126,the,DT,the,1810,James Madison
127,description,NN,description,1810,James Madison
128,of,IN,of,1810,James Madison
129,the,DT,the,1810,James Madison
130,act,NN,act,1810,James Madison
131,and,CC,and,1810,James Madison
132,the,DT,the,1810,James Madison
133,revocation,NN,revocation,1810,James Madison
134,of,IN,of,1810,James Madison
135,them,PRP,them,1810,James Madison
136,being,VBG,be,1810,James Madison
137,such,JJ,such,1810,James Madison
138,that,IN,that,1810,James Madison
139,they,PRP,they,1810,James Madison
140,ceased,VBD,cease,1810,James Madison
141,at,IN,at,1810,James Madison
142,that,DT,that,1810,James Madison
143,date,NN,date,1810,James Madison
144,to,TO,to,1810,James Madison
145,violate,VB,violate,1810,James Madison
146,our,PRP$,our,1810,James Madison
147,neutral,JJ,neutral,1810,James Madison
148,commerce,NN,commerce,1810,James Madison
149,the,DT,the,1810,James Madison
150,fact,NN,fact,1810,James Madison
151,as,IN,as,1810,James Madison
152,prescribed,VBN,prescribe,1810,James Madison
153,by,IN,by,1810,James Madison
154,law,NN,law,1810,James Madison
155,was,VBD,be,1810,James Madison
156,announced,VBN,announce,1810,James Madison
157,by,IN,by,1810,James Madison
158,a,DT,a,1810,James Madison
159,proclamation,NN,proclamation,1810,James Madison
160,bearing,NN,bearing,1810,James Madison
161,date,NN,date,1810,James Madison
162,the,DT,the,1810,James Madison
163,2nd,CD,2nd,1810,James Madison
164,of,IN,of,1810,James Madison
165,november,NNP,November,1810,James Madison
166,it,PRP,It,1810,James Madison
167,would,MD,would,1810,James Madison
168,have,VB,have,1810,James Madison
169,well,RB,well,1810,James Madison
170,accorded,VBN,accord,1810,James Madison
171,with,IN,with,1810,James Madison
172,the,DT,the,1810,James Madison
173,conciliatory,JJ,conciliatory,1810,James Madison
174,views,NNS,view,1810,James Madison
175,indicated,VBN,indicate,1810,James Madison
176,by,IN,by,1810,James Madison
177,this,DT,this,1810,James Madison
178,proceeding,NN,proceeding,1810,James Madison
179,on,IN,on,1810,James Madison
180,the,DT,the,1810,James Madison
181,part,NN,part,1810,James Madison
182,of,IN,of,1810,James Madison
183,france,NNP,France,1810,James Madison
184,to,TO,to,1810,James Madison
185,have,VB,have,1810,James Madison
186,extended,VBN,extend,1810,James Madison
187,them,PRP,them,1810,James Madison
188,to,TO,to,1810,James Madison
189,all,PDT,all,1810,James Madison
190,the,DT,the,1810,James Madison
191,grounds,NNS,ground,1810,James Madison
192,of,IN,of,1810,James Madison
193,just,RB,just,1810,James Madison
194,complaint,NN,complaint,1810,James Madison
195,which,WDT,which,1810,James Madison
196,now,RB,now,1810,James Madison
197,remain,VBP,remain,1810,James Madison
198,unadjusted,JJ,unadjusted,1810,James Madison
199,with,IN,with,1810,James Madison
200,the,DT,the,1810,James Madison
201,united,NNP,United,1810,James Madison
202,states,NNPS,States,1810,James Madison
203,it,PRP,It,1810,James Madison
204,was,VBD,be,1810,James Madison
205,particularly,RB,particularly,1810,James Madison
206,anticipated,VBN,anticipate,1810,James Madison
207,that,RB,that,1810,James Madison
208,as,IN,as,1810,James Madison
209,a,DT,a,1810,James Madison
210,further,JJ,further,1810,James Madison
211,evidence,NN,evidence,1810,James Madison
212,of,IN,of,1810,James Madison
213,just,RB,just,1810,James Madison
214,dispositions,NNS,disposition,1810,James Madison
215,toward,IN,toward,1810,James Madison
216,them,PRP,them,1810,James Madison
217,restoration,NN,restoration,1810,James Madison
218,would,MD,would,1810,James Madison
219,have,VB,have,1810,James Madison
220,been,VBN,be,1810,James Madison
221,immediately,RB,immediately,1810,James Madison
222,made,VBN,make,1810,James Madison
223,of,IN,of,1810,James Madison
224,the,DT,the,1810,James Madison
225,property,NN,property,1810,James Madison
226,of,IN,of,1810,James Madison
227,our,PRP$,our,1810,James Madison
228,citizens,NNS,citizen,1810,James Madison
229,under,IN,under,1810,James Madison
230,a,DT,a,1810,James Madison
231,misapplication,NN,misapplication,1810,James Madison
232,of,IN,of,1810,James Madison
233,the,DT,the,1810,James Madison
234,principle,NN,principle,1810,James Madison
235,of,IN,of,1810,James Madison
236,reprisals,NNS,reprisal,1810,James Madison
237,combined,VBN,combine,1810,James Madison
238,with,IN,with,1810,James Madison
