,word,pos,lemma,year,president
0,yet,CC,Yet,1907,Theodore Roosevelt
1,we,PRP,we,1907,Theodore Roosevelt
2,must,MD,must,1907,Theodore Roosevelt
3,also,RB,also,1907,Theodore Roosevelt
4,remember,VB,remember,1907,Theodore Roosevelt
5,that,IN,that,1907,Theodore Roosevelt
6,even,RB,even,1907,Theodore Roosevelt
7,the,DT,the,1907,Theodore Roosevelt
8,wisest,JJS,wise,1907,Theodore Roosevelt
9,legislation,NN,legislation,1907,Theodore Roosevelt
10,on,IN,on,1907,Theodore Roosevelt
11,the,DT,the,1907,Theodore Roosevelt
12,subject,NN,subject,1907,Theodore Roosevelt
13,can,MD,can,1907,Theodore Roosevelt
14,only,RB,only,1907,Theodore Roosevelt
15,accomplish,VB,accomplish,1907,Theodore Roosevelt
16,a,DT,a,1907,Theodore Roosevelt
17,certain,JJ,certain,1907,Theodore Roosevelt
18,amount,NN,amount,1907,Theodore Roosevelt
19,no,DT,No,1907,Theodore Roosevelt
20,legislation,NN,legislation,1907,Theodore Roosevelt
21,can,MD,can,1907,Theodore Roosevelt
22,by,IN,by,1907,Theodore Roosevelt
23,any,DT,any,1907,Theodore Roosevelt
24,possibility,NN,possibility,1907,Theodore Roosevelt
25,guarantee,NN,guarantee,1907,Theodore Roosevelt
26,the,DT,the,1907,Theodore Roosevelt
27,business,NN,business,1907,Theodore Roosevelt
28,community,NN,community,1907,Theodore Roosevelt
29,against,IN,against,1907,Theodore Roosevelt
30,the,DT,the,1907,Theodore Roosevelt
31,results,NNS,result,1907,Theodore Roosevelt
32,of,IN,of,1907,Theodore Roosevelt
33,speculative,JJ,speculative,1907,Theodore Roosevelt
34,folly,RB,folly,1907,Theodore Roosevelt
35,any,DT,any,1907,Theodore Roosevelt
36,more,JJR,more,1907,Theodore Roosevelt
37,than,IN,than,1907,Theodore Roosevelt
38,it,PRP,it,1907,Theodore Roosevelt
39,can,MD,can,1907,Theodore Roosevelt
40,guarantee,VB,guarantee,1907,Theodore Roosevelt
41,an,DT,an,1907,Theodore Roosevelt
42,individual,NN,individual,1907,Theodore Roosevelt
43,against,IN,against,1907,Theodore Roosevelt
44,the,DT,the,1907,Theodore Roosevelt
45,results,NNS,result,1907,Theodore Roosevelt
46,of,IN,of,1907,Theodore Roosevelt
47,his,PRP$,his,1907,Theodore Roosevelt
48,extravagance,NN,extravagance,1907,Theodore Roosevelt
49,when,WRB,When,1907,Theodore Roosevelt
50,an,DT,an,1907,Theodore Roosevelt
51,individual,JJ,individual,1907,Theodore Roosevelt
52,mortgages,NNS,mortgage,1907,Theodore Roosevelt
53,his,PRP$,his,1907,Theodore Roosevelt
54,house,NN,house,1907,Theodore Roosevelt
55,to,TO,to,1907,Theodore Roosevelt
56,buy,VB,buy,1907,Theodore Roosevelt
57,an,DT,an,1907,Theodore Roosevelt
58,automobile,NN,automobile,1907,Theodore Roosevelt
59,he,PRP,he,1907,Theodore Roosevelt
60,invites,VBZ,invite,1907,Theodore Roosevelt
61,disaster,NN,disaster,1907,Theodore Roosevelt
62,and,CC,and,1907,Theodore Roosevelt
63,when,WRB,when,1907,Theodore Roosevelt
64,wealthy,JJ,wealthy,1907,Theodore Roosevelt
65,men,NNS,men,1907,Theodore Roosevelt
66,or,CC,or,1907,Theodore Roosevelt
67,men,NNS,men,1907,Theodore Roosevelt
68,who,WP,who,1907,Theodore Roosevelt
69,pose,VBP,pose,1907,Theodore Roosevelt
70,as,IN,as,1907,Theodore Roosevelt
71,such,JJ,such,1907,Theodore Roosevelt
72,or,CC,or,1907,Theodore Roosevelt
73,are,VBP,be,1907,Theodore Roosevelt
74,unscrupulously,RB,unscrupulously,1907,Theodore Roosevelt
75,or,CC,or,1907,Theodore Roosevelt
76,foolishly,RB,foolishly,1907,Theodore Roosevelt
77,eager,JJ,eager,1907,Theodore Roosevelt
78,to,TO,to,1907,Theodore Roosevelt
79,become,VB,become,1907,Theodore Roosevelt
80,such,JJ,such,1907,Theodore Roosevelt
81,indulge,NNS,indulge,1907,Theodore Roosevelt
82,in,IN,in,1907,Theodore Roosevelt
83,reckless,JJ,reckless,1907,Theodore Roosevelt
84,speculation,NN,speculation,1907,Theodore Roosevelt
85,--,:,--,1907,Theodore Roosevelt
86,especially,RB,especially,1907,Theodore Roosevelt
87,if,IN,if,1907,Theodore Roosevelt
88,it,PRP,it,1907,Theodore Roosevelt
89,is,VBZ,be,1907,Theodore Roosevelt
90,accompanied,VBN,accompany,1907,Theodore Roosevelt
91,by,IN,by,1907,Theodore Roosevelt
92,dishonesty,NN,dishonesty,1907,Theodore Roosevelt
93,--,:,--,1907,Theodore Roosevelt
94,they,PRP,they,1907,Theodore Roosevelt
95,jeopardize,VBP,jeopardize,1907,Theodore Roosevelt
96,not,RB,not,1907,Theodore Roosevelt
97,only,RB,only,1907,Theodore Roosevelt
98,their,PRP$,their,1907,Theodore Roosevelt
99,own,JJ,own,1907,Theodore Roosevelt
100,future,NN,future,1907,Theodore Roosevelt
101,but,CC,but,1907,Theodore Roosevelt
102,the,DT,the,1907,Theodore Roosevelt
103,future,NN,future,1907,Theodore Roosevelt
104,of,IN,of,1907,Theodore Roosevelt
105,all,DT,all,1907,Theodore Roosevelt
106,their,PRP$,their,1907,Theodore Roosevelt
107,innocent,JJ,innocent,1907,Theodore Roosevelt
108,fellow-citizens,NNS,fellow-citizens,1907,Theodore Roosevelt
109,for,IN,for,1907,Theodore Roosevelt
110,the,DT,the,1907,Theodore Roosevelt
111,expose,NN,expose,1907,Theodore Roosevelt
112,the,DT,the,1907,Theodore Roosevelt
113,whole,JJ,whole,1907,Theodore Roosevelt
114,business,NN,business,1907,Theodore Roosevelt
115,community,NN,community,1907,Theodore Roosevelt
116,to,TO,to,1907,Theodore Roosevelt
117,panic,NN,panic,1907,Theodore Roosevelt
118,and,CC,and,1907,Theodore Roosevelt
119,distress,NN,distress,1907,Theodore Roosevelt
120,the,DT,The,1907,Theodore Roosevelt
121,income,NN,income,1907,Theodore Roosevelt
122,account,NN,account,1907,Theodore Roosevelt
123,of,IN,of,1907,Theodore Roosevelt
124,the,DT,the,1907,Theodore Roosevelt
125,nation,NNP,Nation,1907,Theodore Roosevelt
126,is,VBZ,be,1907,Theodore Roosevelt
127,in,IN,in,1907,Theodore Roosevelt
128,a,DT,a,1907,Theodore Roosevelt
129,most,RBS,most,1907,Theodore Roosevelt
130,satisfactory,JJ,satisfactory,1907,Theodore Roosevelt
131,condition,NN,condition,1907,Theodore Roosevelt
132,for,IN,For,1907,Theodore Roosevelt
133,the,DT,the,1907,Theodore Roosevelt
134,six,CD,six,1907,Theodore Roosevelt
135,fiscal,JJ,fiscal,1907,Theodore Roosevelt
136,years,NNS,year,1907,Theodore Roosevelt
137,ending,VBG,end,1907,Theodore Roosevelt
138,with,IN,with,1907,Theodore Roosevelt
139,the,DT,the,1907,Theodore Roosevelt
140,1st,CD,1st,1907,Theodore Roosevelt
141,of,IN,of,1907,Theodore Roosevelt
142,july,NNP,July,1907,Theodore Roosevelt
143,last,JJ,last,1907,Theodore Roosevelt
144,the,DT,the,1907,Theodore Roosevelt
145,total,JJ,total,1907,Theodore Roosevelt
146,expenditures,NNS,expenditure,1907,Theodore Roosevelt
147,and,CC,and,1907,Theodore Roosevelt
148,revenues,NNS,revenue,1907,Theodore Roosevelt
149,of,IN,of,1907,Theodore Roosevelt
150,the,DT,the,1907,Theodore Roosevelt
151,national,NNP,National,1907,Theodore Roosevelt
152,government,NNP,Government,1907,Theodore Roosevelt
153,exclusive,JJ,exclusive,1907,Theodore Roosevelt
154,of,IN,of,1907,Theodore Roosevelt
155,the,DT,the,1907,Theodore Roosevelt
156,postal,JJ,postal,1907,Theodore Roosevelt
157,revenues,NNS,revenue,1907,Theodore Roosevelt
158,and,CC,and,1907,Theodore Roosevelt
159,expenditures,NNS,expenditure,1907,Theodore Roosevelt
160,were,VBD,be,1907,Theodore Roosevelt
161,in,IN,in,1907,Theodore Roosevelt
162,round,NN,round,1907,Theodore Roosevelt
163,numbers,NNS,number,1907,Theodore Roosevelt
164,revenues,NNS,revenue,1907,Theodore Roosevelt
165,"3,465,000,0000",CD,"3,465,000,0000",1907,Theodore Roosevelt
166,and,CC,and,1907,Theodore Roosevelt
167,expenditures,VBZ,expenditures,1907,Theodore Roosevelt
168,"3,275,000,000",CD,"3,275,000,000",1907,Theodore Roosevelt
169,the,DT,The,1907,Theodore Roosevelt
170,net,JJ,net,1907,Theodore Roosevelt
171,excess,NN,excess,1907,Theodore Roosevelt
172,of,IN,of,1907,Theodore Roosevelt
173,income,NN,income,1907,Theodore Roosevelt
174,over,IN,over,1907,Theodore Roosevelt
175,expenditures,NNS,expenditure,1907,Theodore Roosevelt
176,including,VBG,include,1907,Theodore Roosevelt
177,in,IN,in,1907,Theodore Roosevelt
178,the,DT,the,1907,Theodore Roosevelt
179,latter,JJ,latter,1907,Theodore Roosevelt
