,word,pos,lemma,year,president
0,the,DT,The,1873,Ulysses S. Grant
1,venezuelan,JJ,Venezuelan,1873,Ulysses S. Grant
2,government,NNP,Government,1873,Ulysses S. Grant
3,has,VBZ,have,1873,Ulysses S. Grant
4,been,VBN,be,1873,Ulysses S. Grant
5,apprised,VBN,apprise,1873,Ulysses S. Grant
6,of,IN,of,1873,Ulysses S. Grant
7,the,DT,the,1873,Ulysses S. Grant
8,sense,NN,sense,1873,Ulysses S. Grant
9,of,IN,of,1873,Ulysses S. Grant
10,congress,NNP,Congress,1873,Ulysses S. Grant
11,in,IN,in,1873,Ulysses S. Grant
12,regard,NN,regard,1873,Ulysses S. Grant
13,to,TO,to,1873,Ulysses S. Grant
14,the,DT,the,1873,Ulysses S. Grant
15,awards,NNS,award,1873,Ulysses S. Grant
16,of,IN,of,1873,Ulysses S. Grant
17,the,DT,the,1873,Ulysses S. Grant
18,joint,JJ,joint,1873,Ulysses S. Grant
19,commission,NN,commission,1873,Ulysses S. Grant
20,under,IN,under,1873,Ulysses S. Grant
21,the,DT,the,1873,Ulysses S. Grant
22,convention,NN,convention,1873,Ulysses S. Grant
23,of,IN,of,1873,Ulysses S. Grant
24,25th,CD,25th,1873,Ulysses S. Grant
25,april,NNP,April,1873,Ulysses S. Grant
26,1866,CD,1866,1873,Ulysses S. Grant
27,as,IN,as,1873,Ulysses S. Grant
28,expressed,VBN,express,1873,Ulysses S. Grant
29,in,IN,in,1873,Ulysses S. Grant
30,the,DT,the,1873,Ulysses S. Grant
31,act,NN,act,1873,Ulysses S. Grant
32,of,IN,of,1873,Ulysses S. Grant
33,the,DT,the,1873,Ulysses S. Grant
34,25th,CD,25th,1873,Ulysses S. Grant
35,of,IN,of,1873,Ulysses S. Grant
36,february,NNP,February,1873,Ulysses S. Grant
37,last,JJ,last,1873,Ulysses S. Grant
38,it,PRP,It,1873,Ulysses S. Grant
39,is,VBZ,be,1873,Ulysses S. Grant
40,apprehended,VBN,apprehend,1873,Ulysses S. Grant
41,that,IN,that,1873,Ulysses S. Grant
42,that,DT,that,1873,Ulysses S. Grant
43,government,NNP,Government,1873,Ulysses S. Grant
44,does,VBZ,do,1873,Ulysses S. Grant
45,not,RB,not,1873,Ulysses S. Grant
46,realize,VB,realize,1873,Ulysses S. Grant
47,the,DT,the,1873,Ulysses S. Grant
48,character,NN,character,1873,Ulysses S. Grant
49,of,IN,of,1873,Ulysses S. Grant
50,its,PRP$,its,1873,Ulysses S. Grant
51,obligations,NNS,obligation,1873,Ulysses S. Grant
52,under,IN,under,1873,Ulysses S. Grant
53,that,DT,that,1873,Ulysses S. Grant
54,convention,NN,convention,1873,Ulysses S. Grant
55,as,IN,As,1873,Ulysses S. Grant
56,there,EX,there,1873,Ulysses S. Grant
57,is,VBZ,be,1873,Ulysses S. Grant
58,reason,NN,reason,1873,Ulysses S. Grant
59,to,TO,to,1873,Ulysses S. Grant
60,believe,VB,believe,1873,Ulysses S. Grant
61,however,RB,however,1873,Ulysses S. Grant
62,that,IN,that,1873,Ulysses S. Grant
63,its,PRP$,its,1873,Ulysses S. Grant
64,hesitancy,NN,hesitancy,1873,Ulysses S. Grant
65,in,IN,in,1873,Ulysses S. Grant
66,recognizing,VBG,recognize,1873,Ulysses S. Grant
67,them,PRP,them,1873,Ulysses S. Grant
68,springs,NNS,spring,1873,Ulysses S. Grant
69,in,IN,in,1873,Ulysses S. Grant
70,part,NN,part,1873,Ulysses S. Grant
71,at,IN,at,1873,Ulysses S. Grant
72,least,JJS,least,1873,Ulysses S. Grant
73,from,IN,from,1873,Ulysses S. Grant
74,real,JJ,real,1873,Ulysses S. Grant
75,difficulty,NN,difficulty,1873,Ulysses S. Grant
76,in,IN,in,1873,Ulysses S. Grant
77,discharging,VBG,discharge,1873,Ulysses S. Grant
78,them,PRP,them,1873,Ulysses S. Grant
79,in,IN,in,1873,Ulysses S. Grant
80,connection,NN,connection,1873,Ulysses S. Grant
81,with,IN,with,1873,Ulysses S. Grant
82,its,PRP$,its,1873,Ulysses S. Grant
83,obligations,NNS,obligation,1873,Ulysses S. Grant
84,to,TO,to,1873,Ulysses S. Grant
85,other,JJ,other,1873,Ulysses S. Grant
86,governments,NNS,government,1873,Ulysses S. Grant
87,the,DT,the,1873,Ulysses S. Grant
88,expediency,NN,expediency,1873,Ulysses S. Grant
89,of,IN,of,1873,Ulysses S. Grant
90,further,JJ,further,1873,Ulysses S. Grant
91,forbearance,NN,forbearance,1873,Ulysses S. Grant
92,on,IN,on,1873,Ulysses S. Grant
93,our,PRP$,our,1873,Ulysses S. Grant
94,part,NN,part,1873,Ulysses S. Grant
95,is,VBZ,be,1873,Ulysses S. Grant
96,believed,VBN,believe,1873,Ulysses S. Grant
97,to,TO,to,1873,Ulysses S. Grant
98,be,VB,be,1873,Ulysses S. Grant
99,worthy,JJ,worthy,1873,Ulysses S. Grant
100,of,IN,of,1873,Ulysses S. Grant
101,your,PRP$,your,1873,Ulysses S. Grant
102,consideration,NN,consideration,1873,Ulysses S. Grant
103,the,DT,The,1873,Ulysses S. Grant
104,ottoman,NNP,Ottoman,1873,Ulysses S. Grant
105,government,NNP,Government,1873,Ulysses S. Grant
106,and,CC,and,1873,Ulysses S. Grant
107,that,IN,that,1873,Ulysses S. Grant
108,of,IN,of,1873,Ulysses S. Grant
109,egypt,NNP,Egypt,1873,Ulysses S. Grant
110,have,VBP,have,1873,Ulysses S. Grant
